Program,Worker,Count,CPU_Percent,Disk_TPS,Time_Seconds
A,cpu,2,96,0.78,9.50
A,cpu,3,105,0.48,11.30
A,cpu,4,97,0.47,14.91
A,cpu,5,102,0.47,14.93
A,mem,2,100,0.45,36.37
A,mem,3,100,0.44,52.06
A,mem,4,99,0.42,66.65
A,mem,5,99,0.40,83.01
A,io,2,4,0.50,6.02
A,io,3,4,0.40,6.24
A,io,4,4,0.40,9.96
A,io,5,5,0.39,9.92
B,cpu,2,97,0.39,7.03
B,cpu,3,97,0.39,11.55
B,cpu,4,103,0.58,13.98
B,cpu,5,97,0.38,18.35
B,cpu,6,100,0.38,20.09
B,cpu,7,98,0.37,23.52
B,cpu,8,101,0.37,26.59
B,mem,2,100,0.36,37.26
B,mem,3,98,0.85,53.26
B,mem,4,101,0.34,65.84
B,mem,5,99,0.83,83.09
B,mem,6,100,0.31,103.59
B,mem,7,100,0.30,121.26
B,mem,8,99,0.28,135.87
B,io,2,5,0.28,6.10
B,io,3,4,0.28,6.65
B,io,4,5,0.28,8.68
B,io,5,4,0.28,11.86
B,io,6,5,0.28,12.33
B,io,7,4,0.28,16.27
B,io,8,4,0.57,15.31
